epoch,accuracy,dice_coefficient,learning_rate,loss,mean_iou,val_accuracy,val_dice_coefficient,val_loss,val_mean_iou
13,0.9877654910087585,0.904922366142273,9.999999747378752e-05,0.08763574063777924,0.8506240844726562,0.9836059808731079,0.871263325214386,0.11125720292329788,0.8077609539031982
14,0.9879786372184753,0.9113344550132751,9.999999747378752e-05,0.08687195181846619,0.8576858639717102,0.9824731349945068,0.8748743534088135,0.12225804477930069,0.8096250295639038
15,0.9880645871162415,0.912175178527832,9.999999747378752e-05,0.08643019944429398,0.8582546710968018,0.9832971692085266,0.8663411736488342,0.11146746575832367,0.8019844889640808
16,0.9886734485626221,0.9206648468971252,4.999999873689376e-05,0.08358287811279297,0.8692322969436646,0.9841717481613159,0.8847473859786987,0.10900066792964935,0.8217511773109436
17,0.9888505935668945,0.9237549901008606,4.999999873689376e-05,0.08282458782196045,0.8728767037391663,0.9838880300521851,0.8871380090713501,0.11094727367162704,0.8238915205001831
18,0.9890220761299133,0.9219076037406921,4.999999873689376e-05,0.0819506123661995,0.8719965219497681,0.9834694266319275,0.8697559237480164,0.1103544756770134,0.8059528470039368
19,0.9891684055328369,0.9226905107498169,4.999999873689376e-05,0.08127012103796005,0.8732480406761169,0.9839209318161011,0.8743141889572144,0.10995399951934814,0.8112720251083374
20,0.9892510771751404,0.9285531044006348,4.999999873689376e-05,0.08075927197933197,0.8793487548828125,0.9842334985733032,0.8832579255104065,0.11077944934368134,0.8204697966575623
21,0.9893226027488708,0.9254975318908691,4.999999873689376e-05,0.08049815148115158,0.8766471743583679,0.9839956164360046,0.8764992356300354,0.10963449627161026,0.8130874037742615
22,0.9894261956214905,0.9290095567703247,4.999999873689376e-05,0.07989396899938583,0.880825400352478,0.9841316938400269,0.8771268129348755,0.10987013578414917,0.8138649463653564
23,0.9895194172859192,0.9294986724853516,4.999999873689376e-05,0.0795813500881195,0.8811872601509094,0.9839387536048889,0.8809160590171814,0.11188118904829025,0.817650556564331
24,0.9896250367164612,0.9303168058395386,4.999999873689376e-05,0.07910677790641785,0.8826134204864502,0.9838460683822632,0.880912184715271,0.11090723425149918,0.8177396655082703
25,0.9899441003799438,0.9342567920684814,2.499999936844688e-05,0.0776779055595398,0.8877120614051819,0.9842376708984375,0.8838046789169312,0.1106589138507843,0.8212093114852905
26,0.9900097250938416,0.9343273043632507,2.499999936844688e-05,0.0773284062743187,0.8881748914718628,0.9842467308044434,0.8792247772216797,0.11121789366006851,0.8164246678352356
27,0.9901034235954285,0.9362117648124695,2.499999936844688e-05,0.07689592987298965,0.8903882503509521,0.9841668009757996,0.878060519695282,0.11115612089633942,0.8153266310691833
28,0.9901562333106995,0.9384560585021973,2.499999936844688e-05,0.07660072296857834,0.8938129544258118,0.9841066002845764,0.8706884384155273,0.11117047816514969,0.8076032400131226
29,0.990239679813385,0.937226414680481,2.499999936844688e-05,0.07627523690462112,0.8924686312675476,0.984200119972229,0.871467649936676,0.1121731847524643,0.8081940412521362
30,0.9902368187904358,0.9351450800895691,2.499999936844688e-05,0.07635901123285294,0.8901386857032776,0.9841545224189758,0.8344299793243408,0.11241002380847931,0.7714685797691345
31,0.990324079990387,0.9355297088623047,2.499999936844688e-05,0.07587375491857529,0.8910526037216187,0.9840520024299622,0.8771653771400452,0.11240548640489578,0.8141491413116455
32,0.9904547929763794,0.940047562122345,1.249999968422344e-05,0.07527676969766617,0.8961688280105591,0.9842104315757751,0.8656322956085205,0.11296634376049042,0.8028351068496704
