class,dice,iou,asd,nsd,precision,recall,f1
Background,0.9911830242819422,0.9825709171716576,0.6371736327609403,0.866422059198448,0.9910896590220063,0.9915804488800769,0.991334993206018
Vertebrae,0.8808982903691397,0.7995732314687736,1.6286388865320376,0.7506213875844157,0.9151643586858883,0.9030271488919384,0.9090552432428657
Spinal Canal,0.8591038640885343,0.8113892096026646,inf,0.7780096874230942,0.8823913285446586,0.9181519843060977,0.8999165345876081
IVDs,0.8277398056519788,0.7234065605037647,inf,0.7849696907271861,0.8656196462993062,0.8589595922356924,0.8622767592262964
Mean,0.8897312460978987,0.8292349796867151,inf,0.795005706233286,0.9135662481379648,0.9179297935784513,0.9156458825656971
