epoch,accuracy,dice_coefficient,learning_rate,loss,mean_iou,val_accuracy,val_dice_coefficient,val_loss,val_mean_iou
0,0.8642042279243469,0.6111714243888855,9.999999747378752e-05,0.2960706651210785,0.5173142552375793,0.8587313294410706,0.2309000939130783,0.6322841048240662,0.21468283236026764
1,0.9691565036773682,0.8893741369247437,9.999999747378752e-05,0.0924651175737381,0.8108483552932739,0.9477897882461548,0.8043590188026428,0.18512208759784698,0.703988254070282
2,0.9760354161262512,0.9113008975982666,9.999999747378752e-05,0.07168659567832947,0.8446015119552612,0.9670259952545166,0.8599866032600403,0.10586939007043839,0.7783859968185425
3,0.9786017537117004,0.9181678891181946,9.999999747378752e-05,0.06409049034118652,0.856678307056427,0.9665044546127319,0.8622927665710449,0.10737062990665436,0.7807477116584778
4,0.9804856181144714,0.9232350587844849,9.999999747378752e-05,0.05880715325474739,0.86567622423172,0.971112072467804,0.8774223327636719,0.09186871349811554,0.8032593131065369
5,0.9815403819084167,0.929223358631134,9.999999747378752e-05,0.055852461606264114,0.873538076877594,0.9709125757217407,0.8796945810317993,0.09548889100551605,0.804970383644104
6,0.9824735522270203,0.9337878227233887,9.999999747378752e-05,0.05268597602844238,0.8805737495422363,0.9709367752075195,0.8748332858085632,0.09661001712083817,0.7997311949729919
7,0.9832765460014343,0.9355291724205017,9.999999747378752e-05,0.05043116584420204,0.8838889598846436,0.9692597389221191,0.8761069178581238,0.10239005833864212,0.8002983927726746
8,0.9835718274116516,0.9377191662788391,9.999999747378752e-05,0.04920592159032822,0.8872383832931519,0.9705524444580078,0.8777347803115845,0.09937645494937897,0.8023576140403748
9,0.9838375449180603,0.938295304775238,9.999999747378752e-05,0.04839956760406494,0.888238787651062,0.9729600548744202,0.8845452666282654,0.09251795709133148,0.8138328194618225
10,0.9845925569534302,0.9412501454353333,9.999999747378752e-05,0.046064022928476334,0.8928557634353638,0.9724342823028564,0.8851402997970581,0.0948009043931961,0.8134488463401794
11,0.9848357439041138,0.9430448412895203,9.999999747378752e-05,0.04511614888906479,0.8954854011535645,0.9728802442550659,0.8838439583778381,0.09553422033786774,0.8116984963417053
12,0.9853463172912598,0.9450253248214722,9.999999747378752e-05,0.04367156699299812,0.8989139199256897,0.9733631014823914,0.8842958211898804,0.09367093443870544,0.8132907748222351
13,0.9856374859809875,0.9465554356575012,9.999999747378752e-05,0.04203987121582031,0.901258647441864,0.9727048277854919,0.8793813586235046,0.09685159474611282,0.8066437244415283
14,0.9858627319335938,0.9472436904907227,9.999999747378752e-05,0.04149356111884117,0.9028047919273376,0.9731450080871582,0.8842571973800659,0.09469109028577805,0.8138492107391357
15,0.9859552383422852,0.946953535079956,9.999999747378752e-05,0.04104475677013397,0.9023922681808472,0.9728611707687378,0.8830757141113281,0.09815139323472977,0.8112592101097107
16,0.9862662553787231,0.9493910074234009,9.999999747378752e-05,0.039967335760593414,0.9061246514320374,0.9741861820220947,0.8826256990432739,0.09422207623720169,0.8129642009735107
17,0.9869363307952881,0.9523741602897644,4.999999873689376e-05,0.037442706525325775,0.9110665321350098,0.9737244844436646,0.8847063779830933,0.09558587521314621,0.8146195411682129
18,0.9873394966125488,0.9528268575668335,4.999999873689376e-05,0.03620484098792076,0.9122753143310547,0.9737184643745422,0.8838086724281311,0.0983942449092865,0.8128246665000916
19,0.9875845313072205,0.9533732533454895,4.999999873689376e-05,0.0350925587117672,0.913672685623169,0.9732329249382019,0.8787866830825806,0.10435052961111069,0.8072888255119324
20,0.9876483082771301,0.9550493359565735,4.999999873689376e-05,0.034717440605163574,0.9157904386520386,0.9745415449142456,0.8842329978942871,0.09707412123680115,0.8156200647354126
21,0.987780749797821,0.9551868438720703,4.999999873689376e-05,0.03427521511912346,0.9163683652877808,0.9738362431526184,0.8839792609214783,0.10034432262182236,0.8137867450714111
